"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C80516","0603B104K160CT","Walsin Tech Corp","0603","","16V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","50","0.0043","0.43","https://assets.lcsc.com/images/lcsc/96x96/20190221_Walsin-Tech-Corp-0603B104K160CT_C80516_front.jpg"
"C2935944","DZ127R-11-04-25","DEALON","Straight,P=1.27mm","","1A Straight Square Pins 1mm 3mm 1 4 2.5mm 1.27mm 1x4P Straight,P=1.27mm  Pin Headers ROHS","yes","40","20","0.0255","1.02","https://assets.lcsc.com/images/lcsc/96x96/20220316_DEALON-DZ127R-11-04-25_C2935944_front.jpg"
"C7171","TAJA106K016RNJ","Kyocera AVX","CASE-A_3216","","10uF 16V -55℃~+125℃ 3Ω@100kHz ±10% CASE-A_3216  Tantalum Capacitors ROHS","yes","15","5","0.0616","0.92","https://assets.lcsc.com/images/lcsc/96x96/20180914_Kyocera-AVX-TAJA106K016RNJ_C7171_front_10.jpg"
"C131154","PCM5100APWR","Texas Instruments","TSSOP-20",""," TSSOP-20  Digital To Analog Converters (DACs) ROHS","yes","5","1","2.2668","11.33","https://assets.lcsc.com/images/lcsc/96x96/20180914_Texas-Instruments-PCM5100APWR_C131154_front.jpg"
"C913904","CL10A225KB8NNNC","Samsung Electro-Mechanics","0603","","50V 2.2uF ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","40","20","0.0415","1.66","https://assets.lcsc.com/images/lcsc/96x96/20201222_Samsung-Electro-Mechanics-CL10A225KB8NNNC_C913904_front.jpg"
"C541878","PZ127V-12-08-0720","XFCN","Straight,P=1.27mm","","Straight 1mm 4mm -40℃~+105℃ 2 2.1mm 8 1.27mm Black 2x4P 1.27mm Straight,P=1.27mm  Pin Headers ROHS","yes","10","10","0.0578","0.58","https://assets.lcsc.com/images/lcsc/96x96/20200608_XFCN-PZ127V-12-08-0720_C541878_front.jpg"
"C69691","mSMD110-16V","TECHFUSE","1812","","16V 1.1A 100A 2.2A 1812  Resettable Fuses ROHS","yes","10","10","0.0708","0.71","https://assets.lcsc.com/images/lcsc/96x96/20190624_TECHFUSE-mSMD110-16V_C69691_front.jpg"
"C1689","0603F105M160NT","FH (Guangdong Fenghua Advanced Tech)","0603","","16V 1uF Y5V ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","50","0.0059","0.59","https://assets.lcsc.com/images/lcsc/96x96/20190221_FH--Guangdong-Fenghua-Advanced-Tech-0603F105M160NT_C1689_front.jpg"
"C14675","RC0603FR-07100KL","YAGEO","0603","","100mW 75V ±100ppm/℃ ±1% -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","200","100","0.0012","0.24","https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0603FR-07100KL_C14675_front.jpg"
"C126469","CT41G-0805-2X1-50V-0.1μF-K(N)","TORCH","0805","","50V 100nF 2X1 ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","50","0.0072","0.72","https://assets.lcsc.com/images/lcsc/96x96/20181206_TORCH-CT41G-0805-2X1-50V-0-1-F-K-N_C126469_front.jpg"
"C779676","B5819W-SL","ZRE","SOD-123","","1mA@20V 40V Single 750mV@3A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS","yes","20","20","0.0235","0.47","https://assets.lcsc.com/images/lcsc/96x96/20200927_ZRE-B5819W-SL_C779676_front.jpg"
"C92769","EMK325BJ106KN-T","Taiyo Yuden","1210","","16V 10uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","10","10","0.0721","0.72","https://assets.lcsc.com/images/lcsc/96x96/20180914_Taiyo-Yuden-EMK325BJ106KN-T_C92769_front.jpg"
"C156350","RS-03K5101FT","FH (Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±100ppm/℃ ±1% -55℃~+155℃ 5.1kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","200","100","0.0012","0.24","https://assets.lcsc.com/images/lcsc/96x96/20180914_FH--Guangdong-Fenghua-Advanced-Tech-RS-03K5101FT_C156350_front.jpg"
"C269745","RMC08052K1%N","TyoHM","0805","","125mW ±1% 2kΩ 0805  Chip Resistor - Surface Mount ROHS","yes","100","50","0.0056","0.56","https://assets.lcsc.com/images/lcsc/96x96/20180920_TyoHM-RMC08052K1-N_C269745_front.jpg"
"C72816","RS-03K332JT","FH (Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±100ppm/℃ ±5% -55℃~+155℃ 3.3kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.001","0.1","https://assets.lcsc.com/images/lcsc/96x96/20200914_FH--Guangdong-Fenghua-Advanced-Tech-RS-03K332JT_C72816_front.jpg"
"C323842","WM8782SEDS/RV","Cirrus Logic","SSOP-20",""," SSOP-20  Analog To Digital Converters (ADCs) ROHS","yes","5","1","2.2","11","https://assets.lcsc.com/images/lcsc/96x96/20181108_Cirrus-Logic-WM8782SEDS-RV_C323842_front.jpg"
"C81088","SGM2028-3.3YN5G/TR","SGMICRO","SOT-23-5","","77dB@(217Hz),73dB@(1kHz) 500mA 420mV@(500mA) Fixed 3.3V~3.3V Positive 1 5.5V SOT-23-5  Linear Voltage Regulators (LDO) ROHS","yes","5","5","0.2162","1.08","https://assets.lcsc.com/images/lcsc/96x96/20180914_SGMICRO-SGM2028-3-3YN5G-TR_C81088_front.jpg"
