Designator,Footprint,Quantity,Value,LCSC Part #
J4,Jack_6.35mm_Neutrik_NMJ6HFD2-AU_Horizontal,1,PJ-625C,C309291
J5,Jack_6.35mm_Neutrik_NMJ6HFD2-AU_Horizontal,1,PJ-625C,C309291
J1,Jack_6.35mm_Neutrik_NMJ6HFD2-AU_Horizontal,1,PJ-625C,C309291
J2,Jack_6.35mm_Neutrik_NMJ6HFD2-AU_Horizontal,1,PJ-625C,C309291
C11,C_0603_1608Metric,1,100n,C80516
J7,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,C2935944
C7,CP_EIA-3216-18_Kemet-A,1,10u,C7171
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100APWR,C131154
C9,CP_EIA-3216-18_Kemet-A,1,10u,C7171
C4,C_0603_1608Metric,1,2.2u,C913904
C16,CP_EIA-3216-18_Kemet-A,1,10u,C7171
J6,PinHeader_2x04_P1.27mm_Vertical,1,Conn_02x04_Counter_Clockwise,C541878
F1,C_1812_4532Metric,1,mSMD110-16V,C69691
C22,CP_EIA-3216-18_Kemet-A,1,10u,C7171
C1,C_0603_1608Metric,1,1u,C1689
R10,R_0603_1608Metric,1,100k,C14675
C17,C_0603_1608Metric,1,100n,C80516
C5,C_0805_2012Metric,1,0.1u,C126469
D1,D_SOD-123,1,ZRE B5819W-SL,C779676
C23,C_0603_1608Metric,1,1u,C1689
C24,C_1210_3225Metric,1,10u,C92769
J3,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,C2935944
C14,C_0805_2012Metric,1,0.1u,C126469
C13,C_0805_2012Metric,1,0.1u,C126469
C20,CP_EIA-3216-18_Kemet-A,1,10u,C7171
R4,R_0603_1608Metric,1,5.1k,C156350
C6,CP_EIA-3216-18_Kemet-A,1,10u,C7171
R1,R_0805_2012Metric,1,2k,C269745
C25,C_0603_1608Metric,1,1u,C1689
R5,R_0603_1608Metric,1,3.3k,C72816
U2,SSOP-20_5.3x7.2mm_P0.65mm,1,WM8782SEDS,C323842
U3,SOT-23-5,1,SGM2028-3.3YN5G/TR,C81088
R3,R_0603_1608Metric,1,10K,C99198
C12,C_0603_1608Metric,1,100n,C80516
R9,R_0603_1608Metric,1,100k,C14675
J8,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,C2935944
C21,CP_EIA-3216-18_Kemet-A,1,10u,C7171
C8,C_0805_2012Metric,1,0.1u,C126469
C2,C_0603_1608Metric,1,1u,C1689
C18,C_0603_1608Metric,1,100n,C80516
R8,R_0603_1608Metric,1,10k,C99198
R2,R_0805_2012Metric,1,2k,C269745
C10,CP_EIA-3216-18_Kemet-A,1,10u,C7171
C19,CP_EIA-3216-18_Kemet-A,1,10u,C7171
R7,R_0603_1608Metric,1,5.1k,C156350
C15,CP_EIA-3216-18_Kemet-A,1,10u,C7171
R6,R_0603_1608Metric,1,10k,C99198
C3,C_0603_1608Metric,1,2.2u,C913904
